dataset,mode,width,depth,activation,batchnorm,dropout,residual,optimizer,lr,loss,test_acc,best_k,rho,z,connected_all_layers,elapsed_s,run_id,error,session
cifar10_cat_v_dog,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,10.4,cifar10_cat_v_dog__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.5860000252723694,200,-0.17030269115561864,-0.17197837929250243,True,30.1,cifar10_cat_v_dog__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,10.7,cifar10_cat_v_dog__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.5964999794960022,10,-0.9945582720684905,-2.9520406211982952,True,29.9,cifar10_cat_v_dog__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,11.5,cifar10_cat_v_dog__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.6044999957084656,20,-0.5552652040487773,-0.6259616094722593,True,31.0,cifar10_cat_v_dog__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.5005000233650208,,,,False,12.5,cifar10_cat_v_dog__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
cifar10_cat_v_dog,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.5914999842643738,350,0.9993276944018916,3.9988042664858616,True,30.0,cifar10_cat_v_dog__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9865000247955322,250,-0.703530522662241,-0.8742569423156656,True,28.0,fmnist_sandal_v_boot__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9869999885559082,350,-0.9301034642912177,-1.6591564007835027,True,28.5,fmnist_sandal_v_boot__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9860000014305115,350,-0.4761428378427704,-0.5179843591130422,True,29.0,fmnist_sandal_v_boot__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9879999756813049,350,0.12306464823930291,0.1236916230401472,True,29.6,fmnist_sandal_v_boot__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9884999990463257,350,-0.6439605314134206,-0.7649109880744366,True,28.3,fmnist_sandal_v_boot__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9850000143051147,350,-0.9289980677987788,-1.6510244602364892,True,31.8,fmnist_sandal_v_boot__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9835000038146973,350,-0.7088415245127675,-0.8848516203122877,True,29.9,fmnist_sandal_v_boot__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_sandal_v_boot,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.984499990940094,350,-0.3154908282985509,-0.32663154233239733,True,30.9,fmnist_sandal_v_boot__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.8920000195503235,250,-0.08830961188433872,-0.08854025547992246,True,28.2,fmnist_shirt_v_coat__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.8955000042915344,30,0.9074679759364929,1.5129885919114816,True,29.1,fmnist_shirt_v_coat__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9024999737739563,120,0.8920926155957802,1.4320826960853899,True,28.7,fmnist_shirt_v_coat__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9004999995231628,50,0.6987810190639563,0.8649143567885604,True,29.7,fmnist_shirt_v_coat__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9125000238418579,350,0.6473128360350663,0.7706596060719249,True,28.6,fmnist_shirt_v_coat__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.8999999761581421,30,0.869476652893992,1.3309308450642885,True,29.9,fmnist_shirt_v_coat__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.8999999761581421,250,-0.2324363927075752,-0.2367634721279321,True,30.4,fmnist_shirt_v_coat__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_shirt_v_coat,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.906499981880188,250,0.8569541624167047,1.2817638779680225,True,31.3,fmnist_shirt_v_coat__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.843999981880188,350,-0.35584754069089786,-0.37212329645826175,True,27.7,fmnist_tshirt_v_shirt__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.8529999852180481,350,-0.7647867227911149,-1.0076462299856213,True,28.5,fmnist_tshirt_v_shirt__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.8650000095367432,350,-0.6822311273238263,-0.8332759701283592,True,29.0,fmnist_tshirt_v_shirt__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.8510000109672546,150,0.4564354020719446,0.49279933450288643,True,29.8,fmnist_tshirt_v_shirt__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.8665000200271606,120,-0.9973882608193408,-3.319789692198936,True,28.7,fmnist_tshirt_v_shirt__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.8550000190734863,350,0.3046847583298624,0.3146756991070812,True,29.7,fmnist_tshirt_v_shirt__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.8560000061988831,350,0.0835822731650436,0.08377772824337126,True,33.1,fmnist_tshirt_v_shirt__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
fmnist_tshirt_v_shirt,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.847000002861023,350,0.006032120081397974,0.006032193245519465,True,31.2,fmnist_tshirt_v_shirt__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9953940510749817,250,-0.9937707074539812,-2.8842600911639455,True,27.4,mnist_0v8__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9948822855949402,250,-0.7086441215444818,-0.8844549768012538,True,28.4,mnist_0v8__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9964175820350647,250,-0.950665526126205,-1.8386513924434547,True,28.2,mnist_0v8__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9953940510749817,250,-0.987424628825323,-2.5314273453913425,True,29.2,mnist_0v8__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9969293475151062,250,-0.9714277238740074,-2.1170382053542127,True,28.2,mnist_0v8__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9964175820350647,350,-0.7510815335035907,-0.9754317480567605,True,29.1,mnist_0v8__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9969293475151062,150,-0.9772633234116451,-2.232744839179547,True,29.5,mnist_0v8__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_0v8,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9953940510749817,350,-0.7036754463212326,-0.8745439523491229,True,30.5,mnist_0v8__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9985199570655823,350,-0.6006309955022058,-0.6941336949327299,True,27.4,mnist_1v5__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9990133047103882,350,-0.9962773362718833,-3.1422999626313204,True,28.2,mnist_1v5__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9980266690254211,350,-0.9964221658229448,-3.1621771507837146,True,28.2,mnist_1v5__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9990133047103882,250,-0.6869168897494868,-0.8420945664828766,True,28.7,mnist_1v5__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9980266690254211,350,-0.8420328356789506,-1.2281189260407361,True,28.1,mnist_1v5__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9980266690254211,350,-0.9645659584220809,-2.0076768145185673,True,28.6,mnist_1v5__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9990133047103882,200,-0.9999891659965936,-6.062981334927242,True,29.5,mnist_1v5__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v5,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9980266690254211,350,-0.9514096371826156,-1.8464410329781544,True,33.2,mnist_1v5__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9953767657279968,250,0.27212264930443536,0.2791548009884294,True,27.7,mnist_1v7__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9958391189575195,250,-0.39112878598036693,-0.41313199934976125,True,28.4,mnist_1v7__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9967637658119202,250,-0.9487217365695318,-1.8188309846621626,True,28.9,mnist_1v7__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9963014125823975,200,-0.9816579877167254,-2.3412474795044664,True,29.2,mnist_1v7__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9972260594367981,250,-0.9402443993733911,-1.7401531512128727,True,28.5,mnist_1v7__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9963014125823975,150,-0.8938603662607099,-1.4408085100557189,True,29.2,mnist_1v7__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9976884126663208,250,-0.5512592009710165,-0.6201884158962634,True,30.0,mnist_1v7__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_1v7,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9963014125823975,350,-0.914383263852484,-1.5536350072676266,True,30.7,mnist_1v7__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9954773783683777,350,-0.9983137956972494,-3.538789486766555,True,27.9,mnist_2v6__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9954773783683777,50,-0.9466966663868079,-1.7989451621485066,True,28.3,mnist_2v6__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.995979905128479,350,-0.9551934826083027,-1.8879454146375894,True,28.7,mnist_2v6__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9944723844528198,350,-0.6516417549354713,-0.778146842546606,True,29.6,mnist_2v6__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9949748516082764,250,-0.8308754874434463,-1.1909571677679291,True,28.0,mnist_2v6__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9949748516082764,350,-0.9603224675151537,-1.9500395839065068,True,29.0,mnist_2v6__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.995979905128479,150,-0.7099954253175005,-0.8871746383084321,True,29.8,mnist_2v6__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v6,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9954773783683777,200,-0.8667032957597717,-1.3196758540457143,True,30.5,mnist_2v6__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.99320387840271,250,-0.30432883659004356,-0.3142834018364257,True,27.8,mnist_2v7__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9917475581169128,250,-0.9582811656896302,-1.9244348611186712,True,31.3,mnist_2v7__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9912621378898621,350,-0.6706204395140121,-0.8118697960018119,True,28.9,mnist_2v7__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9922330379486084,250,-0.9935341131641771,-2.8655620505704573,True,29.5,mnist_2v7__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9917475581169128,250,-0.9645287782241809,-2.007142987252076,True,28.4,mnist_2v7__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9922330379486084,350,-0.962750370304881,-1.9822300075195864,True,29.1,mnist_2v7__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9927184581756592,350,-0.2831591570429478,-0.2911132840043712,True,30.1,mnist_2v7__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_2v7,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9927184581756592,250,-0.6488842381696712,-0.7733690719939117,True,30.8,mnist_2v7__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.988959014415741,200,-0.33687753543287885,-0.3505661452361868,True,27.4,mnist_3v5__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9884332418441772,200,-0.981007482155599,-2.323657859852826,True,28.4,mnist_3v5__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9910620450973511,350,-0.694676928009352,-0.8569384651397011,True,28.5,mnist_3v5__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9931650757789612,350,-0.9993257740615547,-3.997377646867883,True,29.0,mnist_3v5__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9936908483505249,350,-0.3241893230988009,-0.3363213732446326,True,27.8,mnist_3v5__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9942166209220886,350,-0.04257618991680673,-0.04260194434069514,True,29.2,mnist_3v5__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9921135902404785,150,0.7151966836667472,0.8977421067397499,True,29.3,mnist_3v5__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_3v5,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9921135902404785,250,0.5908546494073748,0.6789780964114971,True,30.5,mnist_3v5__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9965174198150635,350,-0.5045491222620712,-0.5553901668302009,True,27.8,mnist_4v7__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.9965174198150635,350,0.14012988924658676,0.14105806450029995,True,28.5,mnist_4v7__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9960198998451233,350,-0.8871470585592893,-1.4083679534117899,True,28.5,mnist_4v7__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9965174198150635,350,-0.3517806736632741,-0.3674744570834936,True,29.6,mnist_4v7__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,wide,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9970149397850037,250,-0.030583276822929106,-0.030592817399335257,True,31.3,mnist_4v7__wide_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,wide,5,relu,False,0.0,False,adam,0.001,bce,0.9970149397850037,250,-0.8103691112334691,-1.128103270170273,True,29.5,mnist_4v7__wide_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,wide,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9970149397850037,350,-0.1190758953631697,-0.1196435274489406,True,30.1,mnist_4v7__wide_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v7,real,wide,5,gelu,False,0.0,False,adam,0.001,bce,0.9960198998451233,350,-0.10822019174158837,-0.10864566309651036,True,31.1,mnist_4v7__wide_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v9,real,narrow,5,relu,False,0.0,False,rmsprop,0.001,bce,0.9874435067176819,350,0.15880431914351928,0.16015984191538618,True,27.7,mnist_4v9__narrow_d5_actrelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v9,real,narrow,5,relu,False,0.0,False,adam,0.001,bce,0.988950252532959,350,0.16141297783525727,0.16283713407896472,True,29.1,mnist_4v9__narrow_d5_actrelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v9,real,narrow,5,gelu,False,0.0,False,rmsprop,0.001,bce,0.9884480237960815,350,0.4514110295469224,0.4864710063292135,True,28.8,mnist_4v9__narrow_d5_actgelu__optrmsprop_lr0.001_lossbce_seed0,,20251008_003902
mnist_4v9,real,narrow,5,gelu,False,0.0,False,adam,0.001,bce,0.9884480237960815,350,0.104544322781705,0.10492771303107619,True,29.8,mnist_4v9__narrow_d5_actgelu__optadam_lr0.001_lossbce_seed0,,20251008_003902
