dataset,width,depth,error,elapsed_s
cifar10_car_v_truck,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,16.2
cifar10_car_v_truck,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,20.0
cifar10_car_v_truck,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,14.1
cifar10_car_v_truck,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,20.1
cifar10_car_v_truck,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,16.1
cifar10_car_v_truck,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,19.8
cifar10_cat_v_dog,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,15.9
cifar10_cat_v_dog,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,19.8
cifar10_cat_v_dog,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,14.3
cifar10_cat_v_dog,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.2
cifar10_cat_v_dog,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,15.9
cifar10_cat_v_dog,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,20.0
mnist_1v5,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.6
mnist_1v5,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.6
mnist_1v5,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,12.6
mnist_1v5,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,15.9
mnist_1v5,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.6
mnist_1v5,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,19.4
mnist_2v6,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.4
mnist_2v6,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.1
mnist_2v6,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,12.9
mnist_2v6,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,15.8
mnist_2v6,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.5
mnist_2v6,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.2
mnist_4v7,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.7
mnist_4v7,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.4
mnist_4v7,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,12.7
mnist_4v7,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,15.9
mnist_4v7,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.5
mnist_4v7,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.4
mnist_6v7,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.6
mnist_6v7,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.6
mnist_6v7,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,12.6
mnist_6v7,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,18.0
mnist_6v7,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,13.8
mnist_6v7,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,17.5
paper_syn_A_sin_bands_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.6
paper_syn_A_sin_bands_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.5
paper_syn_A_sin_bands_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.8
paper_syn_A_sin_bands_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.2
paper_syn_A_sin_bands_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.7
paper_syn_A_sin_bands_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.2
paper_syn_B_two_spirals_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.4
paper_syn_B_two_spirals_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,9.8
paper_syn_B_two_spirals_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.7
paper_syn_B_two_spirals_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,12.2
paper_syn_B_two_spirals_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.5
paper_syn_B_two_spirals_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.1
paper_syn_C_sine_surface_vs_plane_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.3
paper_syn_C_sine_surface_vs_plane_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,9.8
paper_syn_C_sine_surface_vs_plane_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.2
paper_syn_C_sine_surface_vs_plane_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,9.5
paper_syn_C_sine_surface_vs_plane_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,7.3
paper_syn_C_sine_surface_vs_plane_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,9.7
svhn_1v7,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,28.4
svhn_1v7,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,34.3
svhn_1v7,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,24.1
svhn_1v7,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,29.7
svhn_1v7,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,27.8
svhn_1v7,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,34.6
svhn_3v8,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,21.4
svhn_3v8,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,26.4
svhn_3v8,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,18.8
svhn_3v8,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,23.1
svhn_3v8,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,21.3
svhn_3v8,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,28.8
synthetic_A_moons_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_A_moons_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
synthetic_A_moons_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.3
synthetic_A_moons_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.5
synthetic_A_moons_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_A_moons_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.8
synthetic_B_circles_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.5
synthetic_B_circles_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.4
synthetic_B_circles_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_B_circles_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.8
synthetic_C_blobs_1k_each,bottleneck,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_C_blobs_1k_each,bottleneck,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
synthetic_C_blobs_1k_each,narrow,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.4
synthetic_C_blobs_1k_each,narrow,11,SeedSequence expects int or sequence of ints for entropy not 0.99,10.6
synthetic_C_blobs_1k_each,wide,5,SeedSequence expects int or sequence of ints for entropy not 0.99,6.3
synthetic_C_blobs_1k_each,wide,11,SeedSequence expects int or sequence of ints for entropy not 0.99,8.6
